gene_id	transcript_id(s)	length	effective_length	expected_count	TPM	FPKM	posterior_mean_count	posterior_standard_deviation_of_count	pme_TPM	pme_FPKM	TPM_ci_lower_bound	TPM_ci_upper_bound	TPM_coefficient_of_quartile_variation	FPKM_ci_lower_bound	FPKM_ci_upper_bound	FPKM_coefficient_of_quartile_variation
ENSG00000130234.10	ENST00000252519.7,ENST00000427411.1,ENST00000471548.5,ENST00000473851.1,ENST00000484756.1	1856.60	1680.52	0.00	0.00	0.00	2.07	1.25	0.10	0.10	0.0220429	0.203645	0.323706	0.0206559	0.190818	0.323663
ENSG00000130244.12	ENST00000252530.9,ENST00000343358.11,ENST00000585954.1,ENST00000586372.5,ENST00000588262.5,ENST00000588348.5,ENST00000589027.1,ENST00000589029.1,ENST00000589408.1,ENST00000592992.1	1221.33	1045.26	911.00	13.98	12.95	911.00	0.00	14.17	13.27	12.8559	15.5384	0.0324347	12.044	14.5576	0.0324416
ENSG00000130254.11	ENST00000252542.8,ENST00000585449.1,ENST00000587802.5,ENST00000589925.1,ENST00000590000.1,ENST00000590262.1,ENST00000591101.5,ENST00000591120.1,ENST00000591123.5,ENST00000591310.1,ENST00000592599.5	2901.23	2725.14	6493.12	38.21	35.41	6492.97	25.71	38.46	36.02	36.8715	40.0702	0.0143283	34.5687	37.5669	0.0143258
ENSG00000130255.12	ENST00000347512.7,ENST00000394580.2,ENST00000577222.5,ENST00000579446.1,ENST00000579649.5,ENST00000582380.6,ENST00000582463.5,ENST00000590786.5	496.90	320.89	31162.00	1557.28	1443.22	31162.10	0.31	1537.12	1439.39	1518.87	1556.43	0.00421211	1422.6	1457.78	0.00421492
ENSG00000130270.16	ENST00000310127.10,ENST00000525591.5,ENST00000526092.6,ENST00000526847.1,ENST00000531925.5,ENST00000533107.3,ENST00000533993.5,ENST00000587160.2	2580.58	2404.49	651.00	4.34	4.02	651.00	0.00	4.55	4.26	4.00291	5.10839	0.0417479	3.75578	4.79142	0.0417271
ENSG00000130283.8	ENST00000247005.7	2517.00	2340.91	12.03	0.08	0.08	8.61	6.40	0.06	0.06	1.24573e-06	0.156728	0.572777	2.63964e-06	0.146846	0.572752
ENSG00000130287.13	ENST00000252575.10,ENST00000585410.1,ENST00000588231.1,ENST00000590187.2	2728.83	2552.77	7.00	0.04	0.04	7.00	0.00	0.15	0.14	0.0332272	0.290026	0.326089	0.0309741	0.271615	0.326067
ENSG00000130294.16	ENST00000320389.12,ENST00000404283.9,ENST00000415042.1,ENST00000428768.2,ENST00000431776.6,ENST00000448728.1,ENST00000460788.5,ENST00000463388.2,ENST00000465813.2,ENST00000488776.1,ENST00000492812.6,ENST00000494452.1,ENST00000498729.8,ENST00000647572.1,ENST00000647731.1,ENST00000647885.1,ENST00000648047.1,ENST00000648129.1,ENST00000648364.1,ENST00000648534.1,ENST00000648680.1,ENST00000648854.1,ENST00000649064.1,ENST00000649096.1,ENST00000649190.1,ENST00000649306.1,ENST00000649381.1,ENST00000650053.1,ENST00000650130.1,ENST00000650430.1,ENST00000650542.1	1907.13	1731.11	126.00	1.17	1.08	126.00	0.00	1.76	1.65	1.14865	2.41822	0.126814	1.07568	2.26561	0.126821
ENSG00000130299.16	ENST00000324894.12,ENST00000358792.11,ENST00000361619.9,ENST00000593297.5,ENST00000594018.5,ENST00000594345.5,ENST00000594703.1,ENST00000595194.1,ENST00000595381.1,ENST00000595951.1,ENST00000596001.5,ENST00000596125.1,ENST00000596166.5,ENST00000596218.5,ENST00000596941.5,ENST00000598038.5,ENST00000598493.5,ENST00000598532.1,ENST00000599329.1,ENST00000599429.5,ENST00000600610.5,ENST00000600625.5,ENST00000600995.5,ENST00000601213.5,ENST00000601261.5,ENST00000601983.1,ENST00000602056.1,ENST00000602165.1	1666.07	1489.98	3272.00	35.21	32.64	3272.00	0.00	36.32	34.01	34.1897	38.4092	0.0199001	32.0268	35.9822	0.019884
ENSG00000130300.8	ENST00000252590.8,ENST00000595816.1,ENST00000599426.1	1550.81	1374.74	38.00	0.44	0.41	38.00	0.00	0.65	0.61	0.297862	1.05708	0.202009	0.279549	0.990752	0.201953
